"vehicleid","date","start_rounded","finish_rounded","tripid"
6027,"2020-08-06","07:50:00","07:55:00",40422234
6028,"2020-08-03","17:55:00","18:20:00",40422229
6029,"2020-08-05","08:40:00","08:50:00",40422195
6030,"2020-08-03","07:40:00","08:05:00",40422177
6030,"2020-08-04","08:35:00","09:00:00",40422256
6030,"2020-08-04","16:15:00","16:40:00",40422264
6030,"2020-08-05","06:00:00","06:10:00",40422208
6030,"2020-08-06","07:25:00","07:45:00",40422207
6030,"2020-08-06","17:10:00","17:25:00",40422280
6030,"2020-08-06","17:10:00","17:35:00",40422277
6030,"2020-08-07","08:30:00","08:55:00",40422256
6031,"2020-08-03","06:55:00","07:05:00",40422250
6031,"2020-08-06","07:50:00","08:00:00",40422275
6031,"2020-08-07","08:55:00","09:10:00",40422185
6032,"2020-08-04","17:35:00","17:55:00",40422304
6033,"2020-08-03","17:20:00","17:35:00",40422289
6033,"2020-08-04","07:30:00","07:35:00",40422184
6033,"2020-08-06","08:10:00","08:20:00",40422176
6034,"2020-08-03","08:10:00","08:20:00",40422176
6034,"2020-08-04","07:00:00","07:25:00",40422220
6034,"2020-08-04","16:35:00","17:00:00",40422324
6035,"2020-08-03","16:45:00","16:55:00",40422215
6035,"2020-08-03","17:00:00","17:05:00",40422215
6048,"2020-08-04","07:25:00","07:30:00",46909106
6052,"2020-08-03","08:10:00","08:15:00",46909708
6055,"2020-08-06","07:35:00","07:40:00",46909719
6056,"2020-08-05","08:00:00","08:05:00",46909840
6056,"2020-08-05","08:20:00","08:25:00",46909833
6057,"2020-08-07","06:10:00","06:15:00",46909207
6060,"2020-08-03","07:55:00","08:00:00",46909579
6064,"2020-08-06","07:30:00","07:40:00",46909142
6065,"2020-08-04","08:45:00","08:55:00",46909994
6065,"2020-08-05","16:15:00","16:20:00",46909944
6066,"2020-08-04","08:00:00","08:10:00",46909186
6066,"2020-08-07","16:30:00","16:35:00",46909505
6067,"2020-08-03","17:20:00","17:25:00",46909249
6067,"2020-08-05","16:55:00","17:00:00",46909889
6067,"2020-08-06","08:30:00","08:35:00",46909201
6068,"2020-08-06","08:45:00","08:50:00",46909994
6071,"2020-08-04","06:50:00","06:55:00",46909776
6071,"2020-08-04","07:30:00","07:40:00",46909761
6071,"2020-08-07","06:15:00","06:25:00",46909241
6072,"2020-08-06","06:55:00","07:00:00",41983969
6073,"2020-08-05","06:00:00","06:10:00",41983961
6075,"2020-08-07","08:30:00","08:40:00",46909759
6077,"2020-08-05","06:25:00","06:30:00",46909607
6077,"2020-08-05","08:50:00","09:00:00",46909606
6078,"2020-08-03","16:20:00","16:35:00",46909844
6078,"2020-08-05","17:10:00","17:15:00",46909936
6079,"2020-08-03","17:50:00","17:55:00",46909820
6080,"2020-08-04","16:35:00","16:40:00",46909968
6080,"2020-08-05","06:15:00","06:25:00",46909633
6080,"2020-08-05","06:45:00","06:55:00",46909631
6081,"2020-08-05","08:50:00","08:55:00",41983992
6082,"2020-08-03","07:40:00","07:45:00",46909168
6083,"2020-08-03","17:25:00","17:35:00",46909932
6083,"2020-08-05","06:00:00","06:10:00",46909207
6085,"2020-08-04","08:55:00","09:00:00",41983993
6086,"2020-08-03","16:55:00","17:00:00",46909507
6087,"2020-08-07","06:05:00","06:10:00",41983961
6091,"2020-08-03","08:35:00","08:45:00",46909890
6091,"2020-08-06","08:20:00","08:25:00",41983986
6109,"2020-08-03","07:15:00","07:20:00",46909707
6109,"2020-08-06","17:40:00","17:50:00",46909820
6110,"2020-08-05","16:40:00","16:45:00",46909725
6112,"2020-08-03","16:50:00","17:00:00",46909788
6112,"2020-08-06","16:00:00","16:05:00",46909873
6112,"2020-08-07","16:15:00","16:20:00",46909844
6114,"2020-08-04","06:00:00","06:10:00",41983961
6201,"2020-08-05","07:00:00","07:05:00",46909775
6201,"2020-08-07","08:15:00","08:25:00",46909833
6202,"2020-08-05","07:15:00","07:25:00",46909707
6204,"2020-08-03","08:30:00","08:35:00",41983988
6204,"2020-08-04","07:05:00","07:10:00",46909100
6207,"2020-08-03","08:00:00","08:05:00",41983981
6207,"2020-08-05","07:20:00","07:35:00",46909758
6208,"2020-08-05","07:15:00","07:20:00",41983972
6210,"2020-08-05","17:45:00","17:55:00",46909950
6212,"2020-08-03","17:55:00","18:00:00",46909654
6212,"2020-08-05","08:45:00","08:55:00",46909841
6212,"2020-08-05","17:00:00","17:10:00",46909838
6213,"2020-08-03","06:25:00","06:30:00",46909679
6215,"2020-08-07","16:10:00","16:20:00",46909893
6218,"2020-08-07","16:40:00","16:50:00",46909924
6220,"2020-08-03","06:20:00","06:30:00",46909607
6220,"2020-08-03","16:30:00","16:35:00",46909629
6222,"2020-08-06","08:10:00","08:15:00",46909851
6222,"2020-08-07","16:00:00","16:10:00",46909465
6224,"2020-08-07","06:35:00","06:40:00",46909240
6225,"2020-08-04","08:05:00","08:10:00",46909127
6227,"2020-08-06","08:25:00","08:30:00",46909244
6228,"2020-08-06","17:10:00","17:15:00",41984099
6229,"2020-08-05","07:05:00","07:15:00",46909673
6230,"2020-08-04","16:35:00","16:40:00",41984087
6230,"2020-08-04","17:25:00","17:30:00",46909249
6230,"2020-08-06","17:20:00","17:25:00",41984104
6231,"2020-08-07","08:00:00","08:10:00",46909807
6234,"2020-08-06","17:20:00","17:30:00",46909715
6235,"2020-08-03","08:15:00","08:20:00",46909414
6235,"2020-08-05","16:35:00","16:45:00",46909869
6238,"2020-08-06","07:10:00","07:15:00",41983970
6238,"2020-08-07","07:05:00","07:10:00",41983970
6239,"2020-08-06","07:40:00","07:45:00",46909384
6240,"2020-08-04","08:25:00","08:30:00",46909244
6240,"2020-08-05","17:50:00","18:05:00",41984120
6240,"2020-08-06","06:55:00","07:00:00",46909834
6250,"2020-08-06","17:30:00","17:50:00",41980926
6813,"2020-08-07","07:50:00","08:00:00",46931495
6814,"2020-08-05","08:50:00","08:55:00",47801051
6815,"2020-08-06","07:05:00","07:15:00",44053823
6816,"2020-08-05","08:45:00","08:50:00",42019330
6821,"2020-08-03","08:50:00","08:55:00",42019330
