OBJECTID,CHANGE_NUM,MINOR_CHAN,CURRENT_NE,IN_SERVICE,ROUTE_ID,LOCAL_EXPR,ROUTE_NUM,SHAPE_Leng
"144","143","10",IN SERVICE,Y,"100184",L,"31",73236.1069202193
"146","143","10",IN SERVICE,Y,"100214",E,"372",95584.6337584225
"147","143","10",IN SERVICE,Y,"100259",L,"67",52209.8375496934
"268","143","11",CURRENT,N,"100059",L,"167",205195.560918874
"320","143","11",CURRENT,N,"100265",L,"71",56477.2972604448
"323","143","11",CURRENT,N,"100267",L,"73",55149.2954029267
"325","143","11",CURRENT,N,"100215",E,"373",84647.7682089934
"330","143","11",CURRENT,N,"100269",L,"75",81706.0520363084
"331","143","11",CURRENT,N,"100193",L,"32",65842.257773088
"341","143","11",CURRENT,N,"100224",L,"44",40292.0198150024
"345","143","11",CURRENT,N,"100225",L,"45",63303.8122034018
"363","143","11",CURRENT,N,"100254",L,"65",69604.8912074145
"368","143","11",CURRENT,N,"100184",L,"31",73236.1069202193
"370","143","11",CURRENT,N,"100214",E,"372",95584.6337584225
"371","143","11",CURRENT,N,"100259",L,"67",52209.8375496934
"439","144","0",NEXT,N,"100059",L,"167",205195.560859221
"509","144","0",NEXT,N,"100184",L,"31",73236.1076827976
"549","144","0",NEXT,N,"100254",L,"65",69604.8911477622
"559","144","0",NEXT,N,"100259",L,"67",52209.8383122717
"570","144","0",NEXT,N,"100265",L,"71",56477.2972848447
"573","144","0",NEXT,N,"100267",L,"73",55149.2954273266
"575","144","0",NEXT,N,"100215",E,"373",84647.7682333932
"578","144","0",NEXT,N,"100193",L,"32",65842.258519393
"580","144","0",NEXT,N,"100269",L,"75",81706.0527988868
"582","144","0",NEXT,N,"100214",E,"372",95584.6337584225
"591","144","0",NEXT,N,"100224",L,"44",40126.9959165373
"595","144","0",NEXT,N,"100225",L,"45",63303.8122278016
"3","143","10",IN SERVICE,Y,"100005",L,"106",100653.641305689
"125","143","10",IN SERVICE,Y,"100228",L,"48",44608.2534235436
"218","143","11",CURRENT,N,"100005",L,"106",100653.640727752
"349","143","11",CURRENT,N,"100228",L,"48",44608.2534831959
"442","144","0",NEXT,N,"100005",L,"106",100653.641305689
